"cell_id","surface_id","row_id","capability_id","gates","evidence_requirement","provider_support","provider_evidence","hulee_implementation","automated_evidence","live_evidence","limitation_ids","condition","backlog_tasks","last_verified"
"telegram_user_session.account::account.catalog_api_visible","telegram_user_session.account","RUN-CATALOG-API","account.catalog_api_visible","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Backend catalog visibility does not prove UI rendering or message runtime.","INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.catalog_api_visible","whatsapp_user_session.account","RUN-CATALOG-API","account.catalog_api_visible","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Backend catalog visibility does not prove UI rendering or message runtime.","INB2-WA-001","2026-07-10"
"max_user_session.account::account.catalog_api_visible","max_user_session.account","RUN-CATALOG-API","account.catalog_api_visible","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","AUTO-CATALOG-001","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Backend catalog visibility does not prove UI rendering or message runtime.","INB2-MAX-001","2026-07-10"
"telegram_user_session.account::account.accounts_ui_visible","telegram_user_session.account","RUN-ACCOUNT-VISIBLE","account.accounts_ui_visible","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Code renders user-bridge connectors in integrations UI; exact UI automation is still missing.","INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.accounts_ui_visible","whatsapp_user_session.account","RUN-ACCOUNT-VISIBLE","account.accounts_ui_visible","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Code renders user-bridge connectors in integrations UI; exact UI automation is still missing.","INB2-WA-001","2026-07-10"
"max_user_session.account::account.accounts_ui_visible","max_user_session.account","RUN-ACCOUNT-VISIBLE","account.accounts_ui_visible","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Code renders user-bridge connectors in integrations UI; exact UI automation is still missing.","INB2-MAX-001","2026-07-10"
"telegram_user_session.account::account.onboarding_challenge_api","telegram_user_session.account","RUN-ONBOARDING-API","account.onboarding_challenge_api","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Provider challenge methods remain adapter-specific.","INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.onboarding_challenge_api","whatsapp_user_session.account","RUN-ONBOARDING-API","account.onboarding_challenge_api","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Provider challenge methods remain adapter-specific.","INB2-WA-001","2026-07-10"
"max_user_session.account::account.onboarding_challenge_api","max_user_session.account","RUN-ONBOARDING-API","account.onboarding_challenge_api","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","AUTO-CATALOG-001","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Provider challenge methods remain adapter-specific.","INB2-MAX-001","2026-07-10"
"telegram_user_session.account::account.onboarding_wizard_ui","telegram_user_session.account","RUN-WIZARD","account.onboarding_wizard_ui","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Code renders the generic user-bridge challenge flow; exact UI automation is still missing.","INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.onboarding_wizard_ui","whatsapp_user_session.account","RUN-WIZARD","account.onboarding_wizard_ui","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Code renders the generic user-bridge challenge flow; exact UI automation is still missing.","INB2-WA-001","2026-07-10"
"max_user_session.account::account.onboarding_wizard_ui","max_user_session.account","RUN-WIZARD","account.onboarding_wizard_ui","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Code renders the generic user-bridge challenge flow; exact UI automation is still missing.","INB2-MAX-001","2026-07-10"
"telegram_user_session.account::account.connector_defaults","telegram_user_session.account","RUN-CONNECTOR-DEFAULTS","account.connector_defaults","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Display/auth/egress defaults exist; their coarse capability booleans are explicitly non-authoritative.","INB2-DMX-001|INB2-TG-001","2026-07-10"
"whatsapp_user_session.account::account.connector_defaults","whatsapp_user_session.account","RUN-CONNECTOR-DEFAULTS","account.connector_defaults","G2/G4/G7","auto","not_applicable","not_required(platform_owned)","present","missing","not_required(auto_only)","LIM-PLATFORM-OWNED-001","Display/auth/egress defaults exist; their coarse capability booleans are explicitly non-authoritative.","INB2-DMX-001|INB2-WA-001","2026-07-10"
